ID,LostCustomer,regionPctCustomers,numOfTotalReturns,wksSinceLastPurch,basktPurchCount12Month,LastPurchaseAmount,AvgPurchaseAmount12,AvgPurchaseAmountTotal,intAdExposureCount12,intAdExposureCount36,intAdExposureCountAll,socialMediaAdCount12,socialMediaAdCount36,socialMediaAdCountAll,totalNumProdPurchased,custInitiatedContacts,avgDiscountValue12,customersales,wksSinceFirstPurch,customerGender,EstimatedIncome,regionMedHomeVal,birthDate,customerSubscrStat,techSupportEval,Review_Text,Title,customerAge,DemHomeOwner,AvgPurchasePerAd12
46197,0,66,0,19,5,75,75,80.65,13,33,70,6,6,28,15,3,,780.04,135,F,66000,73450,23OCT2003,Platinum,3,,,20,Unknown,5.7692307692
72781,0,22,1,17,5,75,75,75,10,15,13,4,6,5,1,1,15,773.04,41,F,70000,82810,30JUL1997,Gold,5,,,27,HomeOwner,7.5
16300,0,24,2,18,3,105,118.35,106,14,30,42,6,14,16,5,2,25,1112.62,81,F,51000,59930,26OCT1995,Platinum,5,,,28,HomeOwner,8.4535714286
102683,0,27,0,18,5,80,80,61.8,13,32,57,6,6,22,11,2,,1076.72,100,M,84000,42250,20APR2000,Platinum,5,,,24,HomeOwner,6.1538461538
184919,0,42,2,22,3,80,52.5,51,12,32,35,6,15,14,5,2,10.5,677.15,65,F,100000,158730,29MAR1994,Platinum,5,,,30,Unknown,4.375
44350,0,50,1,17,5,100,100,53.55,14,33,52,6,15,19,7,2,20,1107.99,89,M,96000,105300,08JAN2006,Platinum,5,,,18,Unknown,7.1428571429
1647,0,19,4,5,2,100,110,82.85,21,43,95,9,20,38,23,3,23.25,822.95,154,F,64000,135070,07APR2006,Platinum,3,,,18,Unknown,5.2380952381
9792,0,54,0,8,10,0,0,68.35,27,27,56,5,5,14,6,2,,489.69,80,M,77000,179400,30MAR1993,Platinum,5,,,31,HomeOwner,0
90474,0,36,0,26,5,125,125,61.65,10,29,37,5,5,14,3,1,,1744.31,77,M,84000,184990,19JUN1996,Platinum,5,,,28,HomeOwner,12.5
47989,0,29,1,18,5,100,100,82.2,9,19,50,4,10,23,9,2,20,1120.69,119,F,65000,60840,11MAR2003,Platinum,3,,,21,Unknown,11.111111111
142579,1,44,2,23,3,75,75,53.55,12,32,49,6,15,19,7,2,15,739.72,89,F,96000,409370,18MAR2005,Platinum,3,,,19,HomeOwner,6.25
